Local,Categoria,P,Trocas,R,Disputa,Check-ins
Windy City Sweets,Candy Store,1,1.1,0,0.0,2,
Wells High School,High School,1,1.1,0,0.0,2,
Umai Japanese Kitchen Sushi,Restaurant,1,1.1,0,0.0,2,
Red Mango,Frozen Yogurt Shop,1,1.1,0,0.0,2,
Pinkberry,Frozen Yogurt Shop,1,1.1,0,0.0,2,
Forever Yogurt,Frozen Yogurt Shop,1,1.1,0,0.0,2,
Five Faces Ice Cream Shop,Restaurant,1,1.1,0,0.0,2,
Chicago Getaway Hostel,Hostel,1,1.1,0,0.0,2,
Baskinrobbins,Ice Cream Shop,1,1.1,0,0.0,2,
Anthony Marano Co,Food & Drink Shop,1,1.1,0,0.0,2,
University Of Illinois Hospital Health Sciences System,Hospital,1,0.69,0,0.0,1,
Sushi Pink,Restaurant,1,0.69,0,0.0,1,
Slurping Turtle,Noodle House,1,0.69,0,0.0,1,
Skyline View,Beach,1,0.69,0,0.0,1,
Asrai Garden,Flower Shop,1,0.69,0,0.0,1,
Navy Pier,Pier,1,0.0,0,0.0,0,
Zombieland,Arcade,0,0.0,0,0.0,0,
Zales,Jewelry Store,0,0.0,0,0.0,0,
Yoshis Cafe,Restaurant,0,0.0,0,0.0,8,
Yogurtland,Frozen Yogurt Shop,0,0.0,0,0.0,2,
Yoberri,Ice Cream Shop,0,0.0,0,0.0,1,
Xsport Fitness,Gym,0,0.0,0,0.0,43,
Xocoatl,Dessert Shop,0,0.0,0,0.0,18,
Wood Street Urban Farm,Farm,0,0.0,0,0.0,0,
William H Wells Community Hs,High School,0,0.0,0,0.0,2,
Wicker Wash,Automotive Shop,0,0.0,0,0.0,0,
Whitney Young High School,High School,0,0.0,0,0.0,4,
Whimsical Chocolate,Dessert Shop,0,0.0,0,0.0,0,
Well Clean Inc,Car Wash,0,0.0,0,0.0,168,
Walmart Neighborhood Market,Grocery Store,0,0.0,0,0.0,97,
Walgreens,Pharmacy,0,0.0,0,0.0,187,
W Chicago City Center,Hotel,0,0.0,0,0.0,7,
Visual Effects Optical,Doctor's Office,0,0.0,0,0.0,0,
Vigilante Press,Comic Shop,0,0.0,0,0.0,20,
Victorias Secret,Lingerie Store,0,0.0,0,0.0,3,
Verizon Wireless,Mobile Phone Shop,0,0.0,0,0.0,0,
Verizon,Mobile Phone Shop,0,0.0,0,0.0,1,
Us Cellular,Mobile Phone Shop,0,0.0,0,0.0,0,
Urban Prep Academy West Campus,High School,0,0.0,0,0.0,0,
University Of Phoenix Downtown Learning Center,University,0,0.0,0,0.0,3,
University Of Illinois At Chicago Medical Center,Hospital,0,0.0,0,0.0,19,
University Of Chicago Medical Center,Doctor's Office,0,0.0,0,0.0,18,
Ukai Restaurant,Restaurant,0,0.0,0,0.0,9,
Uic Medical Center Emergency Room,Medical School,0,0.0,0,0.0,0,
Uic College Prep,High School,0,0.0,0,0.0,7,
Trump International Hotel Tower Chicago,Hotel,0,0.0,0,0.0,31,
Trader Joes,Grocery Store,0,0.0,0,0.0,30,
Tower At Rush University Medical Center,Hospital,0,0.0,0,0.0,9,
Tonic Room,Bar,0,0.0,0,0.0,257,
Tmobile,Mobile Phone Shop,0,0.0,0,0.0,0,
The Vitamin Shoppe,Supplement Shop,0,0.0,0,0.0,17,
The Temple Bar,Bar,0,0.0,0,0.0,21,
The Silver Room,Jewelry Store,0,0.0,0,0.0,4,
The Quarter,Hostel,0,0.0,0,0.0,7,
The Poetry Foundation,Library,0,0.0,0,0.0,1,
The Oriental Institute,History Museum,0,0.0,0,0.0,30,
The Market Place Foodstore,Grocery Store,0,0.0,0,0.0,12,
The John Marshall Law School,Law School,0,0.0,0,0.0,20,
The Jewelers Center,Jewelry Store,0,0.0,0,0.0,18,
The Fudge Pot,Dessert Shop,0,0.0,0,0.0,0,
The Church Of St Paul The Redeemer,Church,0,0.0,0,0.0,193,
The Chicago High School For The Arts,High School,0,0.0,0,0.0,30,
The Backyard,Cemetery,0,0.0,0,0.0,21,
Tamale Cart,Food Truck,0,0.0,0,0.0,0,
Taboo Tabou,Lingerie Store,0,0.0,0,0.0,0,
