Local,Categoria,P,Trocas,R,Disputa,Check-ins
Prive Cidade Jardim,Hotel,0,0.0,0,0.0,1,
Primeira Igreja Batista Da Lapa,Church,0,0.0,0,0.0,0,
Posto 6,Bar,0,0.0,0,0.0,324,
Platibanda,Bar,0,0.0,0,0.0,153,
Pernambucanas,Department Store,0,0.0,0,0.0,4,
Paróquia Nossa Senhora Do Carmo Da Aclimação,Church,0,0.0,0,0.0,29,
Paróquia Nossa Senhora Da Consolação,Church,0,0.0,0,0.0,550,
Paroquia Nossa Senhora Aparecida E São Matias,Church,0,0.0,0,0.0,50,
Papo Pinga E Petisco,Bar,0,0.0,0,0.0,52,
Octavio Café,Café,0,0.0,0,0.0,39,
O Frei Bar,Bar,0,0.0,0,0.0,0,
Nível A,Gym,0,0.0,0,0.0,19,
Na%C3%Afve,Bar,0,0.0,0,0.0,55,
Museu Da Imagem E Do Som Mis,Art Museum,0,0.0,0,0.0,0,
Munik Chocolates,Coffee Shop,0,0.0,0,0.0,8,
Mooca Plaza Shopping,Shopping Mall,0,0.0,0,0.0,0,
Mix Potato,Restaurant,0,0.0,0,0.0,5,
Missa No Bresser Alianca De Misericordia,Church,0,0.0,0,0.0,0,
Mercure São Paulo Nortel,Hotel,0,0.0,0,0.0,0,
Mercure São Paulo Jardins,Hotel,0,0.0,0,0.0,14,
Meliã Paulista,Hotel,0,0.0,0,0.0,2,
Meliã Jardim Europa,Hotel,0,0.0,0,0.0,1,
Meggashop,Department Store,0,0.0,0,0.0,2,
Mattos Restaurante,Bar,0,0.0,0,0.0,296,
Manguinha Gastrobar,Restaurant,0,0.0,0,0.0,0,
Malharia Marabá,Department Store,0,0.0,0,0.0,3,
Mack Bar,Bar,0,0.0,0,0.0,0,
Lonei CalçAdos,Department Store,0,0.0,0,0.0,1,
Lojas Americanas,Department Store,0,0.0,0,0.0,2,
Loirassa Bar,Bar,0,0.0,0,0.0,240,
Livraria Da Vila,Bookstore,0,0.0,0,0.0,12,
Limited Funchal,Residential Building (Apartment / Condo),0,0.0,0,0.0,45,
Leques Brasil Hotel Escola,Hotel,0,0.0,0,0.0,2,
Laricas Bar E Lanches,Bar,0,0.0,0,0.0,110,
Lanchonete Cuca Ideal,Bar,0,0.0,0,0.0,0,
Lanches Refeições Caprichosa,Restaurant,0,0.0,0,0.0,113,
K2 Unidade Jardim FrançA,Gym,0,0.0,0,0.0,0,
Just Fit,Gymnastics Gym,0,0.0,0,0.0,1,
Josephine,Restaurant,0,0.0,0,0.0,1,
Johnnie Wash,Bar,0,0.0,0,0.0,0,
Jangadeiro,Bar,0,0.0,0,0.0,0,
Jacaré Grill,Restaurant,0,0.0,0,0.0,225,
Irmandade Santa Casa De Misericórdia De São Paulo,Hospital,0,0.0,0,0.0,4,
Instituto Hoc De Hemoterapia,Hospital,0,0.0,0,0.0,0,
Instituto Do Câncer Do Estado De São Paulo Icesp,Hospital,0,0.0,0,0.0,7,
Instituto De áUdio E Video Iav,School,0,0.0,0,0.0,1,
Instituto De Medicina Tropical Imt,University,0,0.0,0,0.0,9,
Instituto Brasileiro De Controle Ao Câncer Ibcc,Hospital,0,0.0,0,0.0,2,
Igreja Renascer Em Cristo Moema,Church,0,0.0,0,0.0,0,
Igreja Nossa Senhora Do Monte Serrat,Church,0,0.0,0,0.0,10,
Igreja Evangelica Assembleia De Deus Vnc,Church,0,0.0,0,0.0,50,
Igreja Bíblica EvangéLica Da Comunhão,Church,0,0.0,0,0.0,0,
Igreja Batista Da Liberdade,Church,0,0.0,0,0.0,103,
Igreja AssembléIa De Deus Do Bom Retiro,Church,0,0.0,0,0.0,322,
Id Academia,Gymnastics Gym,0,0.0,0,0.0,1,
Ic Instituto Central Hcfmusp,Hospital,0,0.0,0,0.0,2,
Ibis Budget,Hotel,0,0.0,0,0.0,6,
Humanas Academia,Gym,0,0.0,0,0.0,12,
Hotel Stela,Hotel,0,0.0,0,0.0,0,
Hotel Mega Polo,Hotel,0,0.0,0,0.0,0,
Hotel Fasano São Paulo,Hotel,0,0.0,0,0.0,3,
Hotel Caesar Business,Hotel,0,0.0,0,0.0,5,
Hospital Síriolibanês,Hospital,0,0.0,0,0.0,14,
Hospital São Camilo,Hospital,0,0.0,0,0.0,4,
Hospital Santa Isabel,Hospital,0,0.0,0,0.0,2,
Hospital Santa Catarina,Hospital,0,0.0,0,0.0,10,
Hospital Samaritano De São Paulo,Hospital,0,0.0,0,0.0,17,
Hospital Professor Edmundo Vasconcelos,Hospital,0,0.0,0,0.0,19,
Hospital Presidente,Hospital,0,0.0,0,0.0,3,
Hospital Nove De Julho,Hospital,0,0.0,0,0.0,22,
Hospital Metropolitano,Hospital,0,0.0,0,0.0,1,
Hospital Ipiranga,Hospital,0,0.0,0,0.0,6,
Hospital E Maternidade São Luiz,Hospital,0,0.0,0,0.0,7,
Hospital E Maternidade Metropolitano,Hospital,0,0.0,0,0.0,0,
Hospital Das Clínicas,Hospital,0,0.0,0,0.0,7,
Hospital Cema,Hospital,0,0.0,0,0.0,2,
Hospital Beneficência Portuguesa De São Paulo,Hospital,0,0.0,0,0.0,17,
Hospital Alemão Oswaldo Cruz,Hospital,0,0.0,0,0.0,17,
Holiday Inn,Hotel,0,0.0,0,0.0,16,
Hangar Fontoura,Airport,0,0.0,0,0.0,0,
Grand Mercure São Paulo Ibirapuera,Hotel,0,0.0,0,0.0,3,
Gran Estanconfor Itaim,Hotel,0,0.0,0,0.0,2,
Golden Grill Pizza,Pizza Place,0,0.0,0,0.0,2,
Gimba Restaurante E Chopperia,Restaurant,0,0.0,0,0.0,3,
Garoa Paulista,Bar,0,0.0,0,0.0,287,
Galeria Pagé,Shopping Mall,0,0.0,0,0.0,4,
Galeria Korai,Department Store,0,0.0,0,0.0,0,
Fórmula Academia,Gym / Fitness Center,0,0.0,0,0.0,19,
Frederico Petiscos,Bar,0,0.0,0,0.0,0,
Frans Café,Café,0,0.0,0,0.0,39,
Fitsport,Gym,0,0.0,0,0.0,15,
Fitseven Academia,Gym / Fitness Center,0,0.0,0,0.0,1,
Fit Stadium,Gym,0,0.0,0,0.0,2,
First Academia,Gym,0,0.0,0,0.0,17,
Fidelis,Bar,0,0.0,0,0.0,550,
Feira Da Gestante E Bebê,Department Store,0,0.0,0,0.0,2,
Federação Das Indústrias Do Estado De São Paulo Fiesp,Office,0,0.0,0,0.0,504,
Faculdade Sumaré,University,0,0.0,0,0.0,11,
Evs EspaçO Vida SaudáVel Herbalife,Tea Room,0,0.0,0,0.0,6,
Etapa,Private School,0,0.0,0,0.0,0,
Estação Mooca Beer,Bar,0,0.0,0,0.0,137,
Espro,School,0,0.0,0,0.0,0,
EspaçO Tk,School,0,0.0,0,0.0,0,
EspaçO O2,Gym,0,0.0,0,0.0,3,
Edifício E Galeria Califórnia,Building,0,0.0,0,0.0,0,
Drosophyla Bar,Bar,0,0.0,0,0.0,612,
Double Deck,Bar,0,0.0,0,0.0,0,
Destak Fitness Academia,Gym,0,0.0,0,0.0,0,
Círculo Militar De São Paulo,Sports Club,0,0.0,0,0.0,6,
Curso Borges Cpb,School,0,0.0,0,0.0,43,
Cursinho PréVestibular Henfil,School,0,0.0,0,0.0,3,
Cultura Inglesa Sede,School,0,0.0,0,0.0,2,
Cultura Inglesa Mooca,School,0,0.0,0,0.0,1,
Cultura Inglesa,Language School,0,0.0,0,0.0,7,
Convento E Pensionato Maria Imaculada,Church,0,0.0,0,0.0,0,
Condomínio Residencial Cassandoca GináSio,Gym,0,0.0,0,0.0,0,
Concessionaria Renaut,Department Store,0,0.0,0,0.0,0,
Comschool,School,0,0.0,0,0.0,0,
Companhia Athletica,Gym,0,0.0,0,0.0,13,
Comfort Nova Paulista,Hotel,0,0.0,0,0.0,2,
ColéGio Presbiteriano Do BráS,School,0,0.0,0,0.0,4,
ColéGio Da Polícia Militar,School,0,0.0,0,0.0,2,
Colegio Passalacqua,School,0,0.0,0,0.0,1,
Colegio Dom Bosco Sta Ines,School,0,0.0,0,0.0,3,
Coffee Corner,Bar,0,0.0,0,0.0,623,
Clube Das Artes,Bar,0,0.0,0,0.0,68,
Churrascaria Trilha Gaúcha,Restaurant,0,0.0,0,0.0,0,
Choperia Opção,Bar,0,0.0,0,0.0,193,
Chez Oscar,Restaurant,0,0.0,0,0.0,2,
Check Out Ramada Jardins,Hotel,0,0.0,0,0.0,0,
Challenges Idiomas,School,0,0.0,0,0.0,5,
Cervejaria Do Alemão,Bar,0,0.0,0,0.0,74,
Century Sports Academia,Gym,0,0.0,0,0.0,7,
Centro UniversitáRio São Camilo,University,0,0.0,0,0.0,8,
Centro Trasmontano De São Paulo,Hospital,0,0.0,0,0.0,1,
Centro Cultural Banco Do Brasil Ccbb,Cultural Center,0,0.0,0,0.0,32,
Central De Concursos,School,0,0.0,0,0.0,1,
Castelinho Beer,Bar,0,0.0,0,0.0,0,
Casa Electrolux,Furniture / Home Store,0,0.0,0,0.0,0,
Caiubier,Bar,0,0.0,0,0.0,55,
Bravo Ballet,School,0,0.0,0,0.0,4,
Brascan Open Mall,Shopping Mall,0,0.0,0,0.0,14,
Bourbon Shopping,Shopping Mall,0,0.0,0,0.0,1,
Boteco São Bento,Bar,0,0.0,0,0.0,1083,
Bola De Neve,Church,0,0.0,0,0.0,269,
Bodytech,Gym,0,0.0,0,0.0,31,
Berlitz,School,0,0.0,0,0.0,5,
Bella Augusta,Bar,0,0.0,0,0.0,316,
Bebe Mix Cursino,Department Store,0,0.0,0,0.0,0,
Barão Da Itararé,Bar,0,0.0,0,0.0,0,
Bar Tantan,Bar,0,0.0,0,0.0,166,
