Local,Categoria,P,Trocas,R,Disputa,Check-ins
G Driver,IT Services,0,0.0,0,0.0,0,
Fut5,Soccer Field,0,0.0,0,0.0,0,
FuréLlius Cavernius Tho,Flower Shop,0,0.0,0,0.0,504,
Ftm Sports,Soccer Field,0,0.0,0,0.0,0,
Frutaria Da Visconde,Grocery Store,0,0.0,0,0.0,49,
Fortress Of Solitude,Library,0,0.0,0,0.0,0,
Forneria Copacabana,Pizza Place,0,0.0,0,0.0,0,
Fogo Forte,Restaurant,0,0.0,0,0.0,167,
Fofuras Pet Shop,Pet Store,0,0.0,0,0.0,201,
Fitco Academia,Gym,0,0.0,0,0.0,213,
Fisk,Language School,0,0.0,0,0.0,45,
Filtrosul,Automotive Shop,0,0.0,0,0.0,0,
Farol Do Saber Padre Antônio Vieira,Library,0,0.0,0,0.0,0,
FarmáCia Remédio Popular,Pharmacy,0,0.0,0,0.0,0,
FarmáCia Pague Menos,Pharmacy,0,0.0,0,0.0,261,
Faculdade Herrero,University,0,0.0,0,0.0,232,
Faculdade De Ciências Sociais E Aplicadas Do Paraná Facet,University,0,0.0,0,0.0,229,
Faculdade De Ciências Jurídicas,Law School,0,0.0,0,0.0,674,
Faculdade De Artes Do Paraná Fap,University,0,0.0,0,0.0,7,
Faculdade Camões,University,0,0.0,0,0.0,72,
Evs Espaço Vida Saudável Herbalife,Health Food Store,0,0.0,0,0.0,21,
Eurocar Service,Automotive Shop,0,0.0,0,0.0,0,
Estádio Major Antônio Couto Pereira,Soccer Stadium,0,0.0,0,0.0,1935,
Estádio Bortola Gava OperáRio Pilarzinho Sport Club,Soccer Field,0,0.0,0,0.0,130,
EstáCio Radial,University,0,0.0,0,0.0,270,
Estopim Da Fiel,Soccer Field,0,0.0,0,0.0,366,
Estação Tubo Tre,Bus Stop,0,0.0,0,0.0,795,
Estação Tubo Maria Clara,Bus Stop,0,0.0,0,0.0,323,
Estação Tubo Jardim Botânico,Bus Stop,0,0.0,0,0.0,0,
Estação Tubo Holanda,Bus Stop,0,0.0,0,0.0,784,
Estação Tubo Fernando De Noronha,Bus Stop,0,0.0,0,0.0,0,
Estação Tubo Central,Bus Stop,0,0.0,0,0.0,709,
Estação Tubo Antônio Lago,Bus Stop,0,0.0,0,0.0,1138,
Essencial Narguile,Smoke Shop,0,0.0,0,0.0,0,
Espaço Vida Bandida,Donut Shop,0,0.0,0,0.0,72,
Espaço Vicente,Nightclub,0,0.0,0,0.0,0,
Espaço Novo Tempo Curitiba,Church,0,0.0,0,0.0,72,
Escola Estadual Angelo Trevisan,School,0,0.0,0,0.0,117,
Escola De Aulas Particulares Prof André E Maria Luiza,School,0,0.0,0,0.0,330,
Escola Da Magistratura Do Paraná,Law School,0,0.0,0,0.0,0,
Escola Ceebja Paulo Freire,High School,0,0.0,0,0.0,71,
Esalpet,Pet Store,0,0.0,0,0.0,38,
Empório Do Bacalhau,Food & Drink Shop,0,0.0,0,0.0,0,
Ecoestádio Janguito Malucelli Janguitão,Soccer Stadium,0,0.0,0,0.0,102,
Ecobike Courier,Bike Shop,0,0.0,0,0.0,228,
Duo Cuisine,Restaurant,0,0.0,0,0.0,0,
Duc Club,Nightclub,0,0.0,0,0.0,136,
Dona Maria Buffet,Restaurant,0,0.0,0,0.0,0,
Don Martini,Restaurant,0,0.0,0,0.0,365,
Don Giovanne Ristorante E Pizzeria,Pizza Place,0,0.0,0,0.0,0,
Dom Signori Pizzaria,Pizza Place,0,0.0,0,0.0,9,
Dom Capone,Pizza Place,0,0.0,0,0.0,0,
Dogão Do Clé,Food Truck,0,0.0,0,0.0,213,
Dog Do Nilson,Food Truck,0,0.0,0,0.0,31,
Dog Campeão,Food Truck,0,0.0,0,0.0,0,
Docelândia,Candy Store,0,0.0,0,0.0,360,
Divino Mestre Grill Massas,Restaurant,0,0.0,0,0.0,216,
Diletto,Ice Cream Shop,0,0.0,0,0.0,71,
Di Vero Pizza,Pizza Place,0,0.0,0,0.0,0,
Departamento Da Polícia Civil,Police Station,0,0.0,0,0.0,0,
Dengo Pet Shop,Pet Store,0,0.0,0,0.0,0,
Delícias Do Cerrado,Ice Cream Shop,0,0.0,0,0.0,355,
Delegacia De Furtos E Roubos De Veiculos,Police Station,0,0.0,0,0.0,223,
Delegacia De Furtos E Roubos,Police Station,0,0.0,0,0.0,0,
Datacic,Library,0,0.0,0,0.0,0,
Cwb Poker Club,Casino,0,0.0,0,0.0,144,
Curitiba Eco Hostel,Hostel,0,0.0,0,0.0,0,
Cuore Di Cacao,Dessert Shop,0,0.0,0,0.0,144,
Cultura Inglesa Cabral,University,0,0.0,0,0.0,93,
Ctba Poker Club,Casino,0,0.0,0,0.0,0,
Correios Centro De Cartas E Encomendas,Post Office,0,0.0,0,0.0,134,
Correio,Post Office,0,0.0,0,0.0,0,
Corpo De Bombeiros,Fire Station,0,0.0,0,0.0,0,
Coritiba,Soccer Stadium,0,0.0,0,0.0,1904,
Copa Do Mundo,Soccer Field,0,0.0,0,0.0,72,
Conveniencias Pappa Cibo Posto De Gasolina,Convenience Store,0,0.0,0,0.0,0,
Consultório Oftalmológico Dra Maria Cecília Barros Duarte,Eye Doctor,0,0.0,0,0.0,0,
Consultorio Dr Virginia Oftalmo,Eye Doctor,0,0.0,0,0.0,0,
Confraria Grill Sushi,Restaurant,0,0.0,0,0.0,70,
Confeitaria Swisse,Dessert Shop,0,0.0,0,0.0,0,
Confeitaria Lancaster,Dessert Shop,0,0.0,0,0.0,79,
Confeitaria Casa Do Coco Bomfati,Dessert Shop,0,0.0,0,0.0,131,
Colégio Saint Germain,High School,0,0.0,0,0.0,0,
Colégio Martinus,High School,0,0.0,0,0.0,256,
Colégio Estadual Professor Cleto,University,0,0.0,0,0.0,72,
Colégio Estadual Dr Xavier Da Silva,High School,0,0.0,0,0.0,71,
Colégio Estadual Amâncio Moro,School,0,0.0,0,0.0,353,
Colegio Estadual Zacarias,High School,0,0.0,0,0.0,0,
Colegio Decisivo Cristo Rei,University,0,0.0,0,0.0,1140,
Clínica Zavelinski,Doctors Office,0,0.0,0,0.0,70,
Clínica De Fraturas Novo Mundo,Emergency Room,0,0.0,0,0.0,77,
Clube Da Gente Cic,Pool,0,0.0,0,0.0,0,
Clube Curitibano Sede Mercês,Social Club,0,0.0,0,0.0,108,
Clinifama Odontologia,Dentists Office,0,0.0,0,0.0,0,
Clinica Sarraff,Doctors Office,0,0.0,0,0.0,22,
Clinica Odontológica Dr Airton Maso,Dentists Office,0,0.0,0,0.0,144,
Class Night Clube,Strip Club,0,0.0,0,0.0,0,
Cla,Funeral Home,0,0.0,0,0.0,142,
Cicles Vmax,Bike Shop,0,0.0,0,0.0,0,
Cicles Radar,Bike Shop,0,0.0,0,0.0,0,
Churrascaria Paiol,Restaurant,0,0.0,0,0.0,197,
Chokolat Chocolateria,Chocolate Shop,0,0.0,0,0.0,66,
Centro Nacional Da Cirurgia PláStica,Doctors Office,0,0.0,0,0.0,0,
Centro Municipal De Urgências Médicas Cmum Cic,Emergency Room,0,0.0,0,0.0,864,
Centro Municipal De Urgências Médicas Cmum Campo Comprido,Emergency Room,0,0.0,0,0.0,130,
Central De Relacionamento Com O Sócio,Office,0,0.0,0,0.0,98,
CemitéRio Parque Iguaú,Cemetery,0,0.0,0,0.0,44,
CemitéRio Municipal Santa Cândida,Cemetery,0,0.0,0,0.0,1,
CemitéRio Luterano,Cemetery,0,0.0,0,0.0,0,
CemitéRio Jardim Da Saudade,Cemetery,0,0.0,0,0.0,182,
Cemiterio Israelita,Cemetery,0,0.0,0,0.0,0,
Cassino Do Renatão,Casino,0,0.0,0,0.0,72,
Casas Bahia,Department Store,0,0.0,0,0.0,182,
Casa Fiesta Supermercados,Supermarket,0,0.0,0,0.0,94,
Casa Do Nego,Military Base,0,0.0,0,0.0,0,
Casa Do Mamãe,Casino,0,0.0,0,0.0,216,
Casa Do Fumo,Smoke Shop,0,0.0,0,0.0,0,
Casa Do Crack,Strip Club,0,0.0,0,0.0,0,
Casa De Saúde Oibrasil Telecom,Doctors Office,0,0.0,0,0.0,8,
Casa Da Leitura Maria Nicolas,Library,0,0.0,0,0.0,0,
Casa Da Leitura Dario Vellozo,Library,0,0.0,0,0.0,0,
Casa Da Leitura Augusto Stresser,Library,0,0.0,0,0.0,1141,
Carshow,Car Wash,0,0.0,0,0.0,216,
Caribbean Disco Club,Nightclub,0,0.0,0,0.0,476,
CardáPio Nobre Buffet Grill,Restaurant,0,0.0,0,0.0,0,
Cappuccino,Fruit & Vegetable Store,0,0.0,0,0.0,71,
Capoani,Clothing Store,0,0.0,0,0.0,72,
Campo Do Uberlandia,Soccer Field,0,0.0,0,0.0,10,
Campo Do Novo Mundo Fc,Soccer Field,0,0.0,0,0.0,0,
Cama Do Drew ,Strip Club,0,0.0,0,0.0,0,
Calabouço Do Sad,Playground,0,0.0,0,0.0,1452,
Caiobá,Beach,0,0.0,0,0.0,44,
Caffé Truffas,Coffee Shop,0,0.0,0,0.0,0,
Cafe Impresso,Coffee Shop,0,0.0,0,0.0,31,
Cachorro Quente Do Oliveira,Food Truck,0,0.0,0,0.0,142,
Cacau Show,Chocolate Shop,0,0.0,0,0.0,216,
Cacau Fusion Cuisine,Restaurant,0,0.0,0,0.0,221,
Cabaré Vichineski,Strip Club,0,0.0,0,0.0,0,
By Ravelle,Spa,0,0.0,0,0.0,0,
Bunker Nitzschewatson,Military Base,0,0.0,0,0.0,136,
Brookfield Energia Renovável,Office,0,0.0,0,0.0,0,
British And American,School,0,0.0,0,0.0,178,
Bristol Hotel Resorts,Resort,0,0.0,0,0.0,0,
Brasil Soccer,Soccer Field,0,0.0,0,0.0,0,
Bradesco Ag Merces,Bank,0,0.0,0,0.0,292,
Bosque Túlio Vargas,Park,0,0.0,0,0.0,0,
Bosque Sao Nicolau,Park,0,0.0,0,0.0,406,
Bosque Fazendinha,Park,0,0.0,0,0.0,67,
Blondor Mansion,Strip Club,0,0.0,0,0.0,80,
Biscoitos Família,Candy Store,0,0.0,0,0.0,73,
Biroska,Automotive Shop,0,0.0,0,0.0,0,
Bigzinho Supermercado,Grocery Store,0,0.0,0,0.0,485,
Big Ben,Jewelry Store,0,0.0,0,0.0,0,
Big,Supermarket,0,0.0,0,0.0,189,
Bichos E Caprichos,Pet Store,0,0.0,0,0.0,0,
Biblioteca Cpm,High School,0,0.0,0,0.0,0,
Biblioteca Clube Curitibano,Library,0,0.0,0,0.0,133,
Berço Do Ahnao,Nightclub,0,0.0,0,0.0,2924,
Bem Cuidado,Pet Store,0,0.0,0,0.0,67,
Belleclin Estética E Depilação,Spa,0,0.0,0,0.0,58,
Barbarium Beer Pub,Gastropub,0,0.0,0,0.0,113,
Bar Do Simão,Nightclub,0,0.0,0,0.0,133,
Banco Do Brasil,Bank,0,0.0,0,0.0,335,
Bana Pneus,Automotive Shop,0,0.0,0,0.0,0,
Bacio Gelato,Ice Cream Shop,0,0.0,0,0.0,130,
Baby Dreams,Kids Store,0,0.0,0,0.0,213,
Azuki Sabores Do Japão,Restaurant,0,0.0,0,0.0,276,
Avell Computadores,Electronics Store,0,0.0,0,0.0,4,
Auto Posto Ultra Posto Apa,Gas Station,0,0.0,0,0.0,142,
Auto Posto Jardim Ambiental Ipiranga,Gas Station,0,0.0,0,0.0,96,
Auto Escola Veneto,Driving School,0,0.0,0,0.0,144,
Auto Escola Santa Cândida,Driving School,0,0.0,0,0.0,71,
Auto Escola Luciana,School,0,0.0,0,0.0,0,
Auto Escola Exclusiva,School,0,0.0,0,0.0,226,
Auto Escola Ellen,Driving School,0,0.0,0,0.0,144,
Auto Escola Brito,Automotive Shop,0,0.0,0,0.0,76,
Auto Escola Brasília,Automotive Shop,0,0.0,0,0.0,76,
Aula Da Thais,Law School,0,0.0,0,0.0,426,
Associação Vila Militar,Police Station,0,0.0,0,0.0,0,
Armito,Restaurant,0,0.0,0,0.0,726,
Arena Da Baixada,Soccer Stadium,0,0.0,0,0.0,1031,
Arena Cof Sports,Soccer Field,0,0.0,0,0.0,73,
Aqualandy,Food & Drink Shop,0,0.0,0,0.0,0,
Antiga E Mística Ordem Rosacruz Amorc,History Museum,0,0.0,0,0.0,90,
Ampm Posto Ipiranga,Convenience Store,0,0.0,0,0.0,164,
Ampm,Convenience Store,0,0.0,0,0.0,0,
Amistoso Da Selecao,Soccer Stadium,0,0.0,0,0.0,0,
Amdtran,Driving School,0,0.0,0,0.0,144,
Ambiental Bar,Pub,0,0.0,0,0.0,0,
Agapanthus Floricultura,Flower Shop,0,0.0,0,0.0,104,
Adrenalina Motos,Bike Shop,0,0.0,0,0.0,32,
Acto Dança,School,0,0.0,0,0.0,9,
Acrótona,Pizza Place,0,0.0,0,0.0,27,
Acqua Vhiva,Pool,0,0.0,0,0.0,67,
Acqua Spa Graciosa,Spa,0,0.0,0,0.0,0,
Acqua Motel,Motel,0,0.0,0,0.0,0,
Academia Sport Barigui,Gym,0,0.0,0,0.0,0,
Academia First Class,Gym,0,0.0,0,0.0,96,
Academia Biocorpus,Gym,0,0.0,0,0.0,0,
Academia Area 1,Gym,0,0.0,0,0.0,0,
Abaré,Pizza Place,0,0.0,0,0.0,76,
A Varanda Beer House,Pub,0,0.0,0,0.0,67,
9 Distrito Policial,Police Station,0,0.0,0,0.0,0,
8 Distrito Policial,Police Station,0,0.0,0,0.0,67,
5Bsup,Military Base,0,0.0,0,0.0,0,
3a Igreja Do Evangelho Quadrangular,Church,0,0.0,0,0.0,857,
351,Nightclub,0,0.0,0,0.0,82,
27%C2%Ba Batalhão Logístico,Military Base,0,0.0,0,0.0,13,
1a Igreja Do Evangelho Quadrangular,Church,0,0.0,0,0.0,207,
1O Distrito Da Policia Civil,Police Station,0,0.0,0,0.0,0,
11%C2%Ba Distrito Policial,Police Station,0,0.0,0,0.0,132,
